Attribute Name ,Security Name,Security Description,Has Position,Is Active Security,Lot Size,BBG Unique Name,CUSIP,ISIN,SEDOL,Bloomberg Ticker,Bloomberg Unique ID,BBG Global ID,Ticker and Exchange,Is ADR Flag,ADR Underlying Ticker,ADR Underlying Currency,Shares Per ADR,IPO Date,Pricing Currency,Settle Days,Total Shares Outstanding,Voting Rights Per Share,Average Volume - 20D,Beta,Short Interest,Return - YTD,Volatility - 90D,PF Asset Class,PF Country,PF Credit Rating,PF Currency,PF Instrument,PF Liquidity Profile,PF Maturity,PF NAICS Code,PF Region,PF Sector,PF Sub Asset Class,Country of Issuance,Exchange,Issuer,Issue Currency,Trading Currency,BBG Industry Sub Group,Bloomberg Industry Group,Bloomberg Sector,Country of Incorporation,Risk Currency,Open Price,Close Price,Volume,Last Price,Ask Price,Bid Price,PE Ratio,Dividend Declared Date,Dividend Ex Date,Dividend Record Date ,Dividend Pay Date,Dividend Amount,Frequency,Dividend Type
,IBM US,International Business Machines Corp,TRUE,TRUE,100,IBM US,459200101,US4592001014,2005973,IBM,EQ0010080100001000,BBG000BLNNH6,IBM US,FALSE,,,,,USD,2,989660472.000000000,1.000000000,5956690.000000000,0.730193496,21437944.000000000,-10.363280000,18.675095229,Equity,United States of America,AA+,United States Dollar (USD),Securities,<7 Days,,Computer & Peripheral Equipment Mfg,North America,,Other listed equity,UNITED STATES,Multi-Listed US Exchanges,IBM,USD,USD,Computer Software,Computers,Technology,UNITED STATES,USD,164.160000000,164.160000000,3817529.000000000,164.160000000,187.680000000,187.670000000,9.762407279,1/1/2015,1/15/2015,1/20/2015,2/1/2015,1.120000000,,Cash
,SAMSUNG C&T CORP,SAMSUNG C&T CORP,TRUE,TRUE,100,SAMSUNG C&T CORP,,KR7000830000,6771601,KS,EQ0011792500001001,,KS KR,FALSE,,,,,KRW,2,,1,0,1,0,0,,Equity,South Korea,A-,South Korean Won,Securities,<7 Days,,,Asia and Pacific (other than the middle east),,Other listed equity,SOUTH KOREA,KOSPI,Samsung C&T Corporation,KRW,KRW,Distribution/Wholesale,Distribution/Wholesale,"Consumer, Cyclical",SOUTH KOREA,KRW,1378000,1377992,0,1378000,1381025,1381000,19.77,1/2/2015,1/15/2015,1/20/2015,2/2/2015,0.8,,Cash
,YELP US,YELP INC,TRUE,TRUE,100,YELP US,985817105,US9858171054,B7KCD72,YELP,EQ0000000009491916,BBG000Q2HM09,YELP US,FALSE,,,,,USD,2,61694162.000000000,1.000000000,0,2.181018353,0.000000000,0.000000000,,Equity,United States of America,A-,United States Dollar (USD),Securities,<7 Days,,,North America,,Other listed equity,UNITED STATES,Multi-Listed US Exchanges,YELP,USD,USD,Internet Content-Info/Ne,Internet,Communications,UNITED STATES,USD,82.030000000,82.860000000,439147.000000000,82.220000000,82.220000000,82.120000000,23.540000000,1/3/2015,1/15/2015,1/20/2015,2/3/2015,0.45,,Cash
,EBAY US,EBAY INC,TRUE,TRUE,100,EBAY US,278642103,US2786421030,2293819,EBAY,EQ0034854600001000,BBG000C43RR5,EBAY US,FALSE,,,,,USD,2,1242367268.000000000,1.000000000,9340867.000000000,0.852474809,17262801.000000000,0.160370900,25.378387143,Equity,United States of America,AA-,United States Dollar (USD),Securities,<7 Days,,,North America,,Other listed equity,UNITED STATES,Multi-Listed US Exchanges,eBay Inc,USD,USD,E-Commerce/Products,Internet,Communications,UNITED STATES,USD,56.380000000,56.120000000,5901204.000000000,56.210000000,56.200000000,56.190000000,12.670000000,1/4/2015,1/15/2015,1/20/2015,2/4/2015,0.335,,Cash
,ADT US,ADT CORP/THE,TRUE,TRUE,100,ADT US,00101J106,US00101J1060,B7XWRM2,ADT,EQ0000000025528823,BBG003641015,ADT US,FALSE,,,,,USD,2,174527463.000000000,1.000000000,2409494.500000000,1.442431211,38769617.000000000,-8.053606000,30.288614960,Equity,United States of America,AA+,United States Dollar (USD),Securities,<7 Days,,,North America,,Other listed equity,UNITED STATES,Multi-Listed US Exchanges,ADT Corp/The,USD,USD,Security Services,Commercial Services,"Consumer, Non-cyclical",UNITED STATES,USD,36.000000000,36.140000000,1535032.000000000,36.330000000,36.350000000,36.340000000,17.876808880,1/5/2015,1/15/2015,1/20/2015,2/5/2015,0.200000000,,Cash
,CEVA HOLDINGS LLC,CEVA HOLDINGS LLC,TRUE,TRUE,100,CEVA HOLDINGS LLC,,,,0813700D,EQ0000000030351217,BBG004MKGLD4,0813700D MH,FALSE,,,,,GBP,2,44300000.000000000,1.000000000,0.000000000,1.000000000,0.000000000,0.000000000,,Equity,Marshall Islands,BBB+,Great Britain Pound Sterling (GBP),Securities,<7 Days,,,Europe (EEA),,Other listed equity,BRITAIN,NYSE LIFFE - London,CEVA Holdings LLC,GBP,GBP,Transport-Services,Transportation,Industrial,MARSHALL ISLAND,GBP,17.780000000,18.000000000,0.000000000,18.000000000,19.320000000,19.080000000,45.210000000,1/6/2015,1/15/2015,1/20/2015,2/6/2015,0.000000000,,Cash
,AF FP,AIR FRANCE-KLM,TRUE,TRUE,100,AF FP,,FR0000031122,4916039,AF,EQ0015604900001000,BBG000K79P88,AF FR,FALSE,,,,,EUR,2,300219278.000000000,1.000000000,3520425.000000000,1.353079000,0.000000000,1.469112000,45.367750000,Equity,France,BBB+,Euro (EUR),Securities,<7 Days,,,Europe (EEA),,Other listed equity,FRANCE,Euronext Paris,AIR FRANCE-KLM,EUR,EUR,Airlines,Airlines,"Consumer, Cyclical",FRANCE,EUR,8.059000000,7.964000000,2197327.000000000,8.081000000,8.083000000,8.080000000,15.440000000,1/7/2015,1/15/2015,1/20/2015,2/7/2015,0.255,,Cash
,GME US,GAMESTOP CORP-CLASS A,TRUE,TRUE,100,GME US,36467W109,US36467W1099,B0LLFT5,GME,EQ0175290900001000,BBG000BB5BF6,GME US,FALSE,,,,,USD,2,108515426.000000000,1.000000000,3788714.500000000,1.295957804,48087372.000000000,0.000000000,42.644253396,Equity,United States of America,A,United States Dollar (USD),Securities,<7 Days,,,North America,,Other listed equity,UNITED STATES,Multi-Listed US Exchanges,GameStop Corp,USD,USD,Retail-Computer Equip,Retail,"Consumer, Cyclical",UNITED STATES,USD,34.060000000,33.800000000,1612946.000000000,33.800000000,33.820000000,33.810000000,10.490944960,1/8/2015,1/15/2015,1/20/2015,2/8/2015,0.330000000,,Cash
,QIHU US,QIHOO 360 TECHNOLOGY CO-ADR,TRUE,TRUE,100,QIHU US,74734M109,US74734M1099,B4MWN57,QIHU,EQ0000000016977108,BBG001KR2ST0,QIHU KY,FALSE,,,,,USD,2,89415481.000000000,1.500000000,2639901.750000000,1.278377771,8448916.000000000,2.846666000,47.545752074,Equity,Cayman Islands,BBB,United States Dollar (USD),Securities,<7 Days,,,North America,,Other listed equity,UNITED STATES,Multi-Listed US Exchanges,Qihoo 360 Technology Co. Ltd,USD,USD,Internet Security,Internet,Communications,CAYMAN ISLANDS,USD,59.370000000,59.000000000,589097.000000000,58.890000000,58.880000000,58.820000000,75.019107503,1/9/2015,1/15/2015,1/20/2015,2/9/2015,0.500000000,,Cash
,DWNI GR,DEUTSCHE WOHNEN AG-BR,TRUE,TRUE,100,DWNI GR,,DE000A0HN5C6,B0YZ0Z5,DWNI,EQ0000000002399907,BBG000GM5V54,DWNI DE,FALSE,,,,,EUR,2,294259979.000000000,1.000000000,715150.700000000,0.747422100,0.000000000,1.103164000,17.341330000,Equity,Germany,AA,Euro (EUR),Securities,<7 Days,,,Europe (EEA),,Other listed equity,GERMANY,Eurex Deutschland,DEUTSCHE WOHNEN AG,EUR,EUR,Real Estate Mgmnt/Servic,Real Estate,Financial,GERMANY,EUR,19.685000000,19.704000000,929464.000000000,19.796000000,19.789000000,19.789000000,14.996969339,1/10/2015,1/15/2015,1/20/2015,2/10/2015,0.340000000,,Cash
