Attribute Name ,Security Description,Security Name,Asset Type,Investment Type,Trading Factor,Pricing Factor,ISIN,BBG Ticker,BBG Unique ID,CUSIP,SEDOL,First Coupon Date,Cap,Floor,Coupon Frequency,Coupon,Coupon Type,Spread,Callable Flag,Fix to Float Flag,Putable Flag,Issue Date,Last Reset Date,Maturity,Call Notification Max Days,Put Notification Max Days,Penultimate Coupon Date,Reset Frequency,Has Position,Macaulay Duration,30D Volatility,90D Volatility,Convexity,30Day Average Volume,PF Asset Class,PF Country,PF Credit Rating,PF Currency,PF Instrument,PF Liquidity Profile,PF Maturity,PF NAICS Code,PF Region,PF Sector,PF Sub Asset Class,Bloomberg Industry Group,Bloomberg Industry Sub Group,Bloomberg Industry Sector,Country of Issuance,Issue Currency,Issuer,Risk Currency,Put Date,Put Price,Ask Price,High Price,Low Price,Open Price,Volume,Bid Price,Last Price,Call Date,Call Price
,MENTOR 12 1/2 02/15/18,MENTOR 12 1/2 02/15/18,Fixed Income,Corporate Bond,1.000000000,1.000000000,US63688RAD98,MENTOR,COEI5580481,63688RAD9,B3N1710,Aug-15-2011,,,2,12.500000000,Fixed,,True,False,False,Feb-09-2011,,Feb-15-2018,60.000000000,,Aug-15-2017,,TRUE,2.569000000,,,0.000000000,,Credit,United States of America,AA+,United States Dollar (USD),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Healthcare-Services,Medical-Outptnt/Home Med,"Consumer, Non-cyclical",UNITED STATES,USD,NATIONAL MENTOR HOLDINGS,USD,,,106.400000000,106.400000000,105,105.5,1000,106.400000000,106.400000000,Feb-02-2015,106.250000000
,NLSN 5 04/15/22,NLSN 5 04/15/22,Fixed Income,Corporate Bond,1.000000000,1.000000000,US65409QBB77,NLSN,COEK1536029,65409QBB7,BNJ34X1,Oct-15-2014,,,2,5.000000000,Fixed,,True,False,False,Apr-11-2014,,Apr-15-2022,60.000000000,,Oct-15-2021,,TRUE,6.124798923,15.224264145,10.809936523,0.246069938,1681.080000000,Credit,United States of America,AA-,United States Dollar (USD),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Media,Publishing-Periodicals,Communications,UNITED STATES,USD,NIELSEN FINANCE LLC/CO,USD,,,101.000000000,101.000000000,100.55,100.5,1681.000000000,101.000000000,101.000000000,Apr-15-2017,103.750000000
,OSG 8 1/8 03/30/18,OSG 8 1/8 03/30/18,Fixed Income,Corporate Bond,1.000000000,1.000000000,US690368AH88,OSG,COEI1970710,690368AH8,B55JHR2,Sep-30-2010,,,2,8.125000000,Fixed,,False,False,False,Mar-29-2010,,Mar-30-2018,,,Sep-30-2017,,TRUE,2.844000000,26.903000000,30.420000000,0.094000000,892.808000000,Credit,United States of America,BBB,United States Dollar (USD),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Transportation,Transport-Marine,Industrial,UNITED STATES,USD,OVERSEAS SHIPHLDG GROUP,USD,,,98.100000000,98.100000000,96.4,96.8,2000,98.100000000,98.100000000,,
,WIN 9 7/8 12/01/18,WIN 9 7/8 12/01/18,Fixed Income,Corporate Bond,1.000000000,1.000000000,US695459AF48,WIN,COEI7032879,695459AF4,B6Q9XM5,Dec-01-2011,,,2,9.875000000,Fixed,,True,False,False,Jul-07-2011,,Dec-01-2018,60.000000000,,Jun-01-2018,,TRUE,3.322000000,5.192000000,3.926000000,0.000000000,926.667000000,Credit,United States of America,BBB-,United States Dollar (USD),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Telecommunications,Telecom Services,Communications,UNITED STATES,USD,PAETEC HOLDING CORP,USD,,,105.625000000,105.625000000,104,105,1788,105.625000000,105.625000000,Feb-02-2015,104.938000000
,PNK 7 3/4 04/01/22,PNK 7 3/4 04/01/22,Fixed Income,Corporate Bond,1.000000000,1.000000000,US723456AP49,PNK,COEJ0527378,723456AP4,B7M2CG2,Oct-01-2012,,,2,7.750000000,Fixed,,True,False,False,Mar-19-2012,,Apr-01-2022,60.000000000,,Oct-01-2021,,TRUE,5.623000000,15.657000000,13.917000000,0.098000000,558.750000000,Credit,United States of America,A,United States Dollar (USD),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Entertainment,Gambling (Non-Hotel),"Consumer, Cyclical",UNITED STATES,USD,PINNACLE ENTERTAINMENT,USD,,,106.475000000,106.475000000,104.1,104.4,3200,106.475000000,106.475000000,Apr-01-2017,103.875000000
,SBGI 6 3/8 11/01/21,SBGI 6 3/8 11/01/21,Fixed Income,Corporate Bond,1.000000000,1.000000000,US829259AQ34,SBGI,COEJ9984950,829259AQ3,BJL5G31,May-01-2014,,,2,6.375000000,Fixed,,True,False,False,Jan-22-2014,,Nov-01-2021,60.000000000,,May-01-2021,,TRUE,5.587000000,5.737000000,7.052000000,0.200000000,,Credit,United States of America,A,United States Dollar (USD),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Media,Television,Communications,UNITED STATES,USD,SINCLAIR TELEVISION GROU,USD,,,103.204000000,103.204000000,101.636000000,101.725000000,1600.000000000,100.237000000,101.720000000,Nov-01-2016,104.781000000
,SPB 6 5/8 11/15/22,SPB 6 5/8 11/15/22,Fixed Income,Corporate Bond,1.000000000,1.000000000,US84762LAQ86,SPB,COEK0025677,84762LAQ8,BJ3Q665,May-15-2014,,,2,6.625000000,Fixed,,True,False,False,Jan-24-2014,,Nov-15-2022,60.000000000,,May-15-2022,,TRUE,6.254000000,3.598000000,3.568000000,0.082000000,,Credit,United States of America,A+,United States Dollar (USD),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Household Products/Wares,Consumer Products-Misc,"Consumer, Non-cyclical",UNITED STATES,USD,SPECTRUM BRANDS INC,USD,,,106.836000000,106.836000000,106.059000000,106.059000000,1400.000000000,105.689000000,106.262000000,Nov-15-2017,103.312500000
,S 7 7/8 09/15/23,S 7 7/8 09/15/23,Fixed Income,Corporate Bond,1.000000000,1.000000000,US85207UAF21,S,COEK5536603,85207UAF2,BSDRYY5,Mar-15-2015,,,2,7.875000000,Fixed,,False,False,False,Nov-14-2014,,Sep-15-2023,,,Mar-15-2023,,TRUE,6.297000000,,,0.479000000,,Credit,United States of America,BBB,United States Dollar (USD),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Telecommunications,Cellular Telecom,Communications,UNITED STATES,USD,SPRINT CORP,USD,,,100.577000000,100.577000000,99.043000000,99.392000000,1321.000000000,98.350000000,99.464000000,,
,TAYMON 5 5/8 03/01/24,TAYMON 5 5/8 03/01/24,Fixed Income,Corporate Bond,1.000000000,1.000000000,US877249AD49,TAYMON,COEK1028860,877249AD4,BK8PHJ4,Sep-01-2014,,,2,5.625000000,Fixed,,True,False,False,Mar-05-2014,,Mar-01-2024,60.000000000,,Sep-01-2023,,TRUE,7.090000000,12.039000000,,0.591000000,793.240000000,Credit,United States of America,AA,United States Dollar (USD),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Home Builders,Bldg-Residential/Commer,"Consumer, Cyclical",UNITED STATES,USD,TAYLOR MORRISON COMM/MON,USD,,,96.000000000,96.000000000,94.000000000,94.220000000,1450.000000000,96.000000000,96.000000000,Dec-01-2023,100.000000000
,THC 5 1/2 03/01/19,THC 5 1/2 03/01/19,Fixed Income,Corporate Bond,1.000000000,1.000000000,US88033GCH11,THC,COEK5144002,88033GCH1,BR1W5M0,Mar-01-2015,,,2,5.500000000,Fixed,,False,False,False,Sep-29-2014,,Mar-01-2019,,,Sep-01-2018,,TRUE,3.720000000,10.548000000,,0.159000000,1917.333000000,Credit,United States of America,AA+,United States Dollar (USD),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Healthcare-Services,Medical-Hospitals,"Consumer, Non-cyclical",UNITED STATES,USD,TENET HEALTHCARE CORP,USD,,,101.875000000,101.875000000,101.875000000,101.875000000,1000.000000000,101.875000000,101.875000000,,
,TOY 7 3/8 10/15/18,TOY 7 3/8 10/15/18,Fixed Income,Corporate Bond,1.000000000,1.000000000,US892335AL43,TOY,COED1552584,892335AL4,2738741,Apr-15-2004,,,2,7.375000000,Fixed,,False,False,False,Sep-22-2003,,Oct-15-2018,,,Apr-15-2018,,TRUE,3.173000000,21.238000000,26.424000000,0.106000000,,Credit,United States of America,BBB+,United States Dollar (USD),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Retail,Retail-Toy Store,"Consumer, Cyclical",UNITED STATES,USD,TOYS R US INC,USD,,,67.290000000,67.290000000,65.859000000,66.234000000,1550.000000000,64.427000000,65.859000000,,
,USPI 9 04/01/20,USPI 9 04/01/20,Fixed Income,Corporate Bond,1.000000000,1.000000000,US913016AG65,USPI,COEJ3533324,913016AG6,B76PL26,Apr-01-2013,,,2,9.000000000,Fixed,,True,False,False,Oct-03-2012,,Apr-01-2020,60.000000000,,Oct-01-2019,,TRUE,4.239000000,5.007000000,5.027000000,0.001000000,732.857000000,Credit,United States of America,A,United States Dollar (USD),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Healthcare-Services,Medical-Hospitals,"Consumer, Non-cyclical",UNITED STATES,USD,UNITED SURGICAL PARTNERS,USD,,,107.875000000,107.875000000,105.880000000,105.980000000,3215.000000000,107.875000000,107.875000000,Apr-01-2015,106.750000000
,WMG 6 1/4 01/15/21,WMG 6 1/4 01/15/21,Fixed Income,Corporate Bond,0.900000000,1.000000000,XS0849907521,WMG,COEJ4198358,EJ4198358,B86SNG0,Jul-15-2013,,,2,6.250000000,Fixed,,True,False,False,Nov-01-2012,,Jan-15-2021,60.000000000,,Jul-15-2020,,TRUE,5.003000000,2.083000000,3.103000000,0.147000000,,Credit,United States of America,AA-,Euro (EUR),Securities,1 day or less,,,North America,,Investment grade non-financial institutions corporate bonds,Entertainment,Music,"Consumer, Cyclical",UNITED STATES,USD,WMG ACQUISITION CORP,USD,,,105.500000000,105.500000000,102.230000000,102.000000000,2100.000000000,105.500000000,105.500000000,Jan-15-2016,104.688000000
